Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
176;"ООО ""СТОУНХЕНДЖ ИНДАСТРИАЛ ФЛОРИНГ""";7724341262;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
177;"ООО ""СТРАНА ОЗ""";7734674750;Боташева (1);5;5300;;;2;2500;;;3;2800;7480;-2180;- 41.13
178;"ООО ""СТРОЙЛИНИЯ""";5032249286;Боташева (1);11;29700;;;11;29700;;;;;24760;4940; 16.63
179;"ООО ""СТРОЙМОНОЛИТ""";9718088833;Боташева (1);12;15600;12;15600;;;;;;;0;15600; 100.00
180;"ООО ""СТС-ИНЖИНИРИНГ""";5032261660;Боташева (1);1;2500;1;2500;;;;;;;0;2500; 100.00
181;"ООО ""СЦ ДЕНТЕКС""";9729014022;Якубжанова Екатерина (3);7;16800;7;16800;;;;;;;0;16800; 100.00
182;"ООО ""ТАЛМЕР""";7715990824;Боташева (1);2;3600;2;3600;;;;;;;0;3600; 100.00
183;"ООО ""ТД МЕБЕЛЬ""";5040134948;Якубжанова Екатерина (3);2;4500;1;2000;1;2500;;;;;2160;2340; 52.00
184;"ООО ""ТЕХНОФАРМ""";7708284070;Якубжанова Екатерина (3);11;;5;;6;;;;;;8540;-8540;
185;"ООО ""ТИМ-ПРОФИ""";1841102605;Боташева (1);850;1585300;536;801000;314;784300;;;;;#Н/Д;#Н/Д;
186;"ООО ""ТИНА МЕДИКАЛ""";7729760002;Якубжанова Екатерина (3);3;3000;;;3;3000;;;;;6920;-3920;- 130.67
187;"ООО ""ТНОМЕР-РЕМОНТ""";5050143691;Якубжанова Екатерина (3);8;16000;8;16000;;;;;;;0;16000; 100.00
188;"ООО ""ТРАНСЛОГИСТИК""";5032138787;Боташева (1);54;76800;54;76800;;;;;;;0;76800; 100.00
189;"ООО ТУРОПЕРАТОР ДЕТСКОГО ОТДЫХА ""ВУАЛЯ""";7726611997;Якубжанова Екатерина (3);9;14900;;;6;11300;3;3600;;;12220;2680; 17.99
190;"ООО ""УК АСК ГРУПП""";1841038438;Боташева (1);8;13600;8;13600;;;;;;;0;13600; 100.00
191;"ООО ""УК ""ПРЕИМУЩЕСТВО""";7731297208;Якубжанова Екатерина (3);4;7200;4;7200;;;;;;;0;7200; 100.00
192;"ООО ""УМНЫЙ РИТЕЙЛ""";7811657720;Якубжанова Екатерина (3);203;336100;54;;149;336100;;;;;283360;52740; 15.69
